date,open,high,low,close,adj_close,volume,source
2000-02-22,18.625,18.8125,18.5625,18.5625,11.459907531738281,10700,yahoo
2000-02-23,18.5625,18.9375,18.5625,18.8125,11.614253997802734,5700,yahoo
2000-02-24,18.875,19.125,18.875,19.0,11.730003356933594,61800,yahoo
2000-02-25,19.0,19.25,19.0,19.25,11.884347915649414,41400,yahoo
2000-02-28,19.25,20.125,19.25,20.125,12.42454719543457,35700,yahoo
2000-02-29,21.75,21.875,21.625,21.875,13.504936218261719,79900,yahoo
2000-03-01,22.5,22.75,21.75,21.75,13.427767753601074,140600,yahoo
2000-03-02,22.0,22.25,22.0,22.0625,13.620707511901855,26600,yahoo
2000-03-03,22.125,22.125,22.0625,22.125,13.659282684326172,17300,yahoo
2000-03-06,22.0625,22.25,22.0625,22.0625,13.620707511901855,9900,yahoo
2000-03-07,22.125,22.125,21.75,22.0,13.582109451293945,26200,yahoo
2000-03-08,22.0,22.1875,22.0,22.0,13.582109451293945,31700,yahoo
2000-03-09,21.875,22.0,21.75,22.0,13.582109451293945,7800,yahoo
2000-03-10,22.0,22.125,21.9375,22.125,13.659282684326172,5200,yahoo
2000-03-13,22.375,23.125,22.25,22.875,14.12231159210205,27900,yahoo
2000-03-14,22.875,23.0,22.875,22.875,14.12231159210205,1300,yahoo
2000-03-15,23.125,24.125,22.625,24.125,14.894018173217773,29000,yahoo
2000-03-16,24.125,25.0,24.125,24.375,15.048368453979492,19500,yahoo
2000-03-17,23.375,24.75,23.375,24.75,15.279878616333008,73300,yahoo
2000-03-20,24.0,24.25,23.875,24.0,14.816851615905762,134700,yahoo
2000-03-21,23.75,24.0,23.75,24.0,14.816851615905762,172200,yahoo
2000-03-22,23.75,23.75,22.625,22.625,13.967967987060547,35900,yahoo
2000-03-23,22.625,22.625,22.5,22.5,13.890800476074219,1300,yahoo
2000-03-24,22.5,22.5,22.375,22.4375,13.852212905883789,5600,yahoo
2000-03-27,22.1875,22.1875,22.0,22.0625,13.620707511901855,19600,yahoo
2000-03-28,22.0625,22.0625,19.75,20.0,12.34737491607666,42600,yahoo
2000-03-29,19.75,19.875,19.75,19.75,12.193032264709473,77000,yahoo
2000-03-30,19.8125,20.5,19.8125,20.4375,12.617473602294922,18700,yahoo
2000-03-31,20.4375,20.4375,20.25,20.25,12.501713752746582,23500,yahoo
2000-04-03,20.25,20.6875,20.25,20.625,12.73322868347168,4000,yahoo
2000-04-04,20.625,20.875,20.625,20.75,12.810403823852539,77700,yahoo
2000-04-05,20.75,21.4375,20.625,21.4375,13.234842300415039,32700,yahoo
2000-04-06,21.375,22.4375,21.125,22.375,13.813626289367676,12500,yahoo
2000-04-07,22.25,24.4375,22.25,24.25,14.971195220947266,44500,yahoo
2000-04-10,24.25,24.25,24.0,24.0,14.816851615905762,16100,yahoo
2000-04-11,24.125,24.125,24.0,24.0625,14.855435371398926,6300,yahoo
2000-04-12,24.0,24.0,23.8125,23.875,14.73967456817627,3800,yahoo
2000-04-13,23.75,23.75,23.375,23.375,14.430992126464844,4900,yahoo
2000-04-14,23.25,23.25,23.0,23.0,14.199484825134277,10200,yahoo
2000-04-17,22.875,22.875,22.375,22.4375,13.852212905883789,15500,yahoo
2000-04-18,22.3125,22.3125,21.875,21.9375,13.543529510498047,2900,yahoo
2000-04-19,21.8125,21.9375,21.0,21.0,12.964743614196777,20400,yahoo
2000-04-20,21.0,21.15625,20.9375,21.125,13.041913032531738,78800,yahoo
2000-04-24,21.0625,21.625,21.0,21.625,13.350602149963379,15100,yahoo
2000-04-25,21.875,24.5,21.6875,24.0,14.816851615905762,74600,yahoo
2000-04-26,24.25,24.25,23.8125,24.125,14.894018173217773,67700,yahoo
2000-04-27,24.0,24.375,24.0,24.3125,15.009774208068848,12600,yahoo
2000-04-28,24.5,26.0,24.375,26.0,16.051591873168945,43100,yahoo
2000-05-01,26.25,26.5,24.0,24.0,14.816851615905762,97500,yahoo
2000-05-02,24.125,24.125,23.75,23.8125,14.701094627380371,6100,yahoo
2000-05-03,23.5625,24.375,23.5625,24.25,14.971195220947266,23000,yahoo
2000-05-04,24.0,24.0,23.625,23.625,14.585349082946777,6300,yahoo
2000-05-05,23.5,23.875,23.5,23.6875,14.623917579650879,6200,yahoo
2000-05-08,23.5625,24.125,23.5,24.0,14.816851615905762,20400,yahoo
2000-05-09,24.125,24.375,24.0625,24.375,15.048368453979492,19900,yahoo
2000-05-10,24.5,25.0625,24.375,25.0625,15.472807884216309,23400,yahoo
2000-05-11,25.125,25.75,25.125,25.25,15.588558197021484,30200,yahoo
2000-05-12,25.0,25.75,24.875,25.75,15.89725399017334,32300,yahoo
2000-05-15,25.75,26.5,25.625,25.75,15.89725399017334,73700,yahoo
2000-05-16,25.8125,26.5,25.625,26.25,16.205928802490234,26100,yahoo
2000-05-17,26.375,26.5,26.25,26.375,16.283105850219727,5300,yahoo
2000-05-18,26.375,26.375,26.0625,26.1875,16.16734504699707,9400,yahoo
2000-05-19,26.1875,26.1875,26.0,26.125,16.128761291503906,38200,yahoo
2000-05-22,26.0,26.0,25.8125,25.8125,15.935839653015137,6700,yahoo
2000-05-23,25.375,25.375,23.75,23.75,14.662511825561523,63200,yahoo
2000-05-24,23.25,23.625,23.0,23.25,14.3538236618042,33100,yahoo
2000-05-25,23.375,23.5,23.375,23.375,14.430992126464844,12500,yahoo
2000-05-26,23.375,23.625,23.25,23.25,14.3538236618042,64800,yahoo
2000-05-30,23.25,23.25,22.8125,23.25,14.3538236618042,89000,yahoo
2000-05-31,23.25,24.1875,23.25,24.0625,14.855435371398926,68300,yahoo
2000-06-01,24.0625,24.75,24.0625,24.375,15.048368453979492,38200,yahoo
2000-06-02,24.5,26.0,24.5,25.75,15.89725399017334,62400,yahoo
2000-06-05,25.625,27.0,25.375,26.875,16.591787338256836,145400,yahoo
2000-06-06,26.875,26.875,26.375,26.4375,16.321691513061523,61200,yahoo
2000-06-07,26.4375,26.4375,25.9375,25.9375,16.012998580932617,16400,yahoo
2000-06-08,25.8125,25.8125,25.375,25.4375,15.704315185546875,32200,yahoo
2000-06-09,25.375,25.4375,25.25,25.4375,15.704315185546875,29700,yahoo
2000-06-12,25.4375,25.4375,24.5,25.25,15.588558197021484,75500,yahoo
2000-06-13,24.75,26.0,24.75,26.0,16.051591873168945,185700,yahoo
2000-06-14,26.0,26.9375,26.0,26.8125,16.553199768066406,162900,yahoo
2000-06-15,27.0625,28.0,27.0625,27.5,16.97764015197754,104300,yahoo
2000-06-16,27.5,29.25,27.5,29.0,17.9036922454834,222700,yahoo
2000-06-19,29.25,29.375,28.75,28.8125,17.787939071655273,197500,yahoo
2000-06-20,28.625,28.625,28.0,28.4375,17.55643081665039,68600,yahoo
2000-06-21,28.5,29.25,28.5,29.25,18.05803680419922,35700,yahoo
2000-06-22,29.1875,31.375,29.0,30.875,19.061262130737305,53000,yahoo
2000-06-23,30.875,30.90625,30.0,30.1875,18.63681983947754,53900,yahoo
2000-06-26,30.0,31.0,29.75,31.0,19.1384334564209,85500,yahoo
2000-06-27,31.25,32.625,31.125,32.375,19.98731231689453,58000,yahoo
2000-06-28,32.375,36.0,32.0,35.0,21.60791015625,128800,yahoo
2000-06-29,35.0,35.0,32.625,32.625,20.14165496826172,292000,yahoo
2000-06-30,32.875,34.0,29.0,29.0,17.9036922454834,583600,yahoo
2000-07-03,29.1875,29.625,29.125,29.25,18.05803680419922,80300,yahoo
2000-07-05,29.25,29.5,28.375,29.375,18.135210037231445,80400,yahoo
2000-07-06,29.125,29.25,28.75,28.875,17.82651710510254,56000,yahoo
2000-07-07,28.625,29.75,28.3125,29.75,18.36672019958496,36300,yahoo
2000-07-10,29.875,32.125,29.875,32.0,19.75579833984375,76900,yahoo
2000-07-11,32.125,33.8125,32.125,33.375,20.604684829711914,106000,yahoo
2000-07-12,33.0625,34.25,32.3125,34.25,21.14488410949707,286500,yahoo
2000-07-13,34.25,34.25,33.6875,33.6875,20.7976131439209,87400,yahoo
2000-07-14,33.6875,33.875,33.4375,33.875,20.913358688354492,13700,yahoo
2000-07-17,33.875,34.0,33.0625,33.0625,20.411754608154297,49800,yahoo
2000-07-18,32.875,32.875,31.5625,32.3125,19.948732376098633,60500,yahoo
2000-07-19,32.3125,32.3125,31.9375,32.125,19.832975387573242,98500,yahoo
2000-07-20,32.1875,32.625,32.0625,32.5625,20.103069305419922,28000,yahoo
2000-07-21,32.6875,33.875,32.6875,33.8125,20.874784469604492,20000,yahoo
2000-07-24,33.8125,36.375,33.8125,34.0625,21.02912712097168,103000,yahoo
2000-07-25,34.125,34.5,33.75,33.75,20.836200714111328,76600,yahoo
2000-07-26,33.8125,34.375,33.8125,34.0625,21.02912712097168,62200,yahoo
2000-07-27,34.0,34.0625,34.0,34.0625,21.02912712097168,18100,yahoo
2000-07-28,34.3125,34.3125,34.0,34.0,20.99053955078125,129100,yahoo
2000-07-31,33.9375,34.0,33.6875,33.75,20.836200714111328,69000,yahoo
2000-08-01,33.75,33.75,33.5625,33.625,20.759029388427734,4900,yahoo
2000-08-02,33.5625,33.625,33.5,33.5625,20.720441818237305,4400,yahoo
2000-08-03,33.625,33.75,33.5,33.625,20.759029388427734,26700,yahoo
2000-08-04,33.75,33.75,33.6875,33.75,20.836200714111328,14900,yahoo
2000-08-07,33.875,33.875,31.125,32.375,19.98731231689453,77600,yahoo
2000-08-08,32.5,33.0,32.5,32.875,20.29599952697754,16000,yahoo
2000-08-09,33.0,33.875,32.0,33.875,20.913358688354492,57000,yahoo
2000-08-10,33.875,33.875,33.5,33.625,20.759029388427734,15600,yahoo
2000-08-11,33.5,33.5,33.25,33.3125,20.56609344482422,8300,yahoo
2000-08-14,33.375,33.625,33.3125,33.5,20.68185806274414,16400,yahoo
2000-08-15,33.5,33.625,33.3125,33.375,20.604684829711914,17600,yahoo
2000-08-16,33.5,33.6875,33.5,33.6875,20.7976131439209,36700,yahoo
2000-08-17,33.6875,34.875,33.6875,34.75,21.453571319580078,34400,yahoo
2000-08-18,34.75,34.75,34.5,34.625,21.376392364501953,20400,yahoo
2000-08-21,34.5625,35.0,34.5625,34.875,21.530742645263672,15200,yahoo
2000-08-22,35.0,35.5,35.0,35.375,21.83942222595215,6200,yahoo
2000-08-23,35.375,35.4375,34.625,34.75,21.453571319580078,8500,yahoo
2000-08-24,34.75,35.0625,34.5625,35.0,21.60791015625,92100,yahoo
2000-08-25,34.875,35.375,34.875,35.3125,21.800825119018555,33300,yahoo
2000-08-28,35.3125,35.5,35.25,35.3125,21.800825119018555,31200,yahoo
2000-08-29,35.25,38.5,35.25,38.125,23.53717803955078,24900,yahoo
2000-08-30,38.25,39.0,37.25,38.0,23.460006713867188,36300,yahoo
2000-08-31,38.0,41.0,38.0,41.0,25.31211280822754,45700,yahoo
2000-09-01,41.25,42.625,41.25,41.6875,25.736557006835938,38900,yahoo
2000-09-05,41.4375,41.75,41.125,41.5,25.620807647705078,17500,yahoo
2000-09-06,41.25,41.375,40.375,40.4375,24.964845657348633,21100,yahoo
2000-09-07,39.625,39.75,35.5,36.625,22.611127853393555,241400,yahoo
2000-09-08,36.5,37.0625,36.0,37.0,22.842647552490234,59900,yahoo
2000-09-11,37.25,38.625,37.25,38.625,23.84586524963379,40900,yahoo
2000-09-12,38.75,39.0,38.375,38.875,24.000211715698242,41300,yahoo
2000-09-13,38.75,38.9375,38.75,38.9375,24.038808822631836,7300,yahoo
2000-09-14,38.875,39.125,38.625,38.625,23.84586524963379,21800,yahoo
2000-09-15,38.375,38.5,37.875,38.0,23.460006713867188,66200,yahoo
2000-09-18,37.875,38.375,37.625,38.0,23.460006713867188,97200,yahoo
2000-09-19,38.0,38.375,37.8125,38.375,23.691530227661133,20000,yahoo
2000-09-20,38.125,38.25,38.0,38.25,23.614356994628906,22100,yahoo
2000-09-21,38.0,38.0,36.5,36.5,22.533958435058594,21400,yahoo
2000-09-22,36.25,36.875,34.625,34.625,21.376392364501953,66400,yahoo
2000-09-25,34.625,36.0,34.625,35.625,21.993762969970703,60500,yahoo
