date,open,high,low,close,volume,adj_close,source
2024-06-07,767.69,774.01,763.21,768.69,468160,768.69,alpha_vantage
2024-06-06,787.69,787.69,776.53,778.53,406332,778.53,alpha_vantage
2024-06-05,788.75,789.08,779.4367,788.88,539842,788.88,alpha_vantage
2024-06-04,777.37,786.87,774.6201,785.29,666466,785.29,alpha_vantage
2024-06-03,779.49,779.7,768.715,777.37,570972,777.37,alpha_vantage
2024-05-31,763.06,774.29,762.08,772.03,1616051,772.03,alpha_vantage
2024-05-30,754.96,762.4148,753.83,761.86,649985,761.86,alpha_vantage
2024-05-29,763.29,765.93,756.33,756.58,574948,756.58,alpha_vantage
2024-05-28,781.9,783.64,765.475,771.41,636215,771.41,alpha_vantage
2024-05-24,787.38,789.3927,780.92,781.9,429047,781.9,alpha_vantage
2024-05-23,798.44,798.44,781.81,784.55,538309,784.55,alpha_vantage
2024-05-22,803.54,808.87,795.55,799.61,391642,799.61,alpha_vantage
2024-05-21,804.62,806.67,800.23,804.93,461858,804.93,alpha_vantage
2024-05-20,808.98,812.8055,804.2,805.19,366351,805.19,alpha_vantage
2024-05-17,810.43,813.45,806.31,812.22,394388,812.22,alpha_vantage
2024-05-16,811.39,815.0,807.66,807.71,486278,807.71,alpha_vantage
2024-05-15,809.12,818.18,807.68,815.7,667340,815.7,alpha_vantage
2024-05-14,792.52,803.31,792.1722,802.96,492227,802.96,alpha_vantage
2024-05-13,799.0,800.49,789.805,790.33,416812,790.33,alpha_vantage
2024-05-10,792.53,799.23,792.075,796.67,607147,796.67,alpha_vantage
2024-05-09,777.9,791.5135,777.9,789.13,654816,789.13,alpha_vantage
2024-05-08,778.0,779.25,773.88,778.33,665672,778.33,alpha_vantage
2024-05-07,780.47,786.27,776.68,780.92,777419,780.92,alpha_vantage
2024-05-06,768.73,775.16,765.83,774.64,450092,774.64,alpha_vantage
2024-05-03,765.7,771.55,762.7,763.91,558283,763.91,alpha_vantage
2024-05-02,758.16,761.0574,748.78,757.0,632595,757.0,alpha_vantage
2024-05-01,755.0,765.83,750.92,751.58,614845,751.58,alpha_vantage
2024-04-30,758.04,761.45,753.8,754.64,418734,754.64,alpha_vantage
2024-04-29,763.36,769.4,755.85,761.28,495122,761.28,alpha_vantage
2024-04-26,759.77,767.4799,757.75,762.88,447939,762.88,alpha_vantage
2024-04-25,754.31,760.64,748.02,757.65,510302,757.65,alpha_vantage
2024-04-24,762.8,767.6375,759.435,762.8,751258,762.8,alpha_vantage
2024-04-23,763.26,769.42,760.94,766.62,460957,766.62,alpha_vantage
2024-04-22,756.75,766.3,750.55,760.11,617165,760.11,alpha_vantage
2024-04-19,751.39,755.43,745.5514,749.98,867880,749.98,alpha_vantage
2024-04-18,754.74,761.42,746.78,747.3,615103,747.3,alpha_vantage
2024-04-17,753.04,758.9,748.08,753.79,585789,753.79,alpha_vantage
2024-04-16,764.6,766.845,748.79,749.67,663071,749.67,alpha_vantage
